song,notes
god_only_knows_dt,b7 6 b7 6 5 2 5 4 4 3 4 6 2 4 5 6 1 7 1 2 4 5 b6 1 1 7 1 3 6 7 1 6 5 6 5 1 5 4 3 1 2 b7 6 b7 6 5 2 5 4 4 3 4 6 2 4 5 6 1 1 7 1 2 4 5 b6 1 1 7 1 3 6 7 1 6 5 6 5 1 5 4 3 1 2 4 8 6 5 6 5 1 5 4 3 1 2 6 5 6 5 1 5 4 3 1 2 6 5 6 5 1 5 4 3 1 2 6 5 6 5 1 5 4 3 1 2 6 5 6 5 1 5 4 3 1 2 6 5 6 5 1 5 4 3 1 2 6 5 6 5 1 5 4 3 1 2 6 5 6 5 1 5 4 3 1 2
please_please_please_tdc,1 6 5 4 4 b3 2 1 b7 5 1 b7 5 b7 1 2 1 b7 5 2 b3 4 1 b3 1 6 5 5 1 6 1 b3 4 4 5 1 6 1 1 b7 5 b3 b3 2 1 6 5 5 1 6 1 1 b7 5 b7 1 b3 b3 2 2 1 1 6 5 b3 3 5 1 b3 b3 2 1 5 5 1 6 1 1 6 5 4 5 2 1 6 5 1 6 5 1 6 5 1 6 5 1 6 5 1 6 5 1 6 5 1 6 5 1 6 5 b7 1 2 1 6 5 2 b3 3 5 1 2 1 6 5 5 1 6 1 1 b3 b7 1 1 6 1 6 1 1 6 5 1 6 5 b3 1 6 2 1 6 5 1 6 5 1 6 5 1 6 5 1 6 5 b7 1 2 1 6 5 2 2 3 3 1 2 3 5 1 b7 1 1 b3 3 2 3 2 1 1 1 b7 5 6 1 2 3 2 3 2 2 1 1 b7 5 2 1 2 1 6 1 1 6 5 b7 1 2 1 6 5 2 2 3 2 3 1 2 1 6 5 5 1 b7 1 1 b3 b7 b7 1 b3 b7 5 4 5 b7 1 b7 5 b7 1 b3 3 b5 5 b3 2 1 1 6 5 5 2 1 1 b7 5 2 3 4 3 2 1 6 5
satisfaction_dt,3 5 7 5 6 6 1 b3 1 2 3 5 7 5 6 6 1 b3 1 1 1 3 3 3 4 3 4 5 5 1 6 5 4 6 1 3 1 6 1 3 1 7 1 1 1 7 1 1 7 1 7 1 1 1 1 7 1 7 1 6 1 7 1 1 6 1 5 7 1 1 1 1 7 1 6 6 1 1 1 1 7 1 7 1 6 7 1 3 1 5 7 1 1 2 1 7 1 7 5 1 3 1 7 1 7 5 3 5 7 5 6 6 1 b3 1 2 3 5 7 5 6 6 1 b3 1 1 1 3 3 3 4 3 4 5 5 1 6 5 4 6 1 3 1 6 1 3 1 7 1 1 1 1 1 7 1 7 1 1 1 1 7 1 4 1 1 1 1 6 1 7 1 1 1 7 1 1 7 1 1 1 5 1 1 7 1 6 1 7 1 3 1 5 7 1 1 2 1 7 1 7 5 1 3 1 7 1 7 5 3 5 7 5 6 6 1 b3 1 2 3 5 7 5 6 6 1 3 1 1 1 3 3 3 4 3 4 5 5 1 6 5 4 6 1 3 1 6 1 3 1 7 1 1 1 1 6 1 7 1 1 1 1 7 1 1 7 1 6 1 1 7 1 1 1 5 7 1 1 7 1 7 1 1 1 7 1 1 1 6 1 1 1 5 1 7 1 6 1 3 1 5 7 1 1 5 2 1 7 1 7 5 1 3 1 7 1 7 5 3 1 3 1 2 1 3 1 2 1 3 1 3 1 3 1 1 2 1 3 1 1 2 1 3 5 5 7 1 3 1 3 1 3 3 1 3 1
dont_worry_baby_dt,1 2 1 5 5 6 6 7 7 1 1 6 4 4 3 3 4 3 2 1 2 1 5 6 6 7 1 1 6 4 4 3 3 4 3 2 6 5 4 3 2 2 6 5 4 3 2 2 2 3 2 1 3 2 1 7 1 7 1 2 7 6 7 6 7 6 5 3 2 1 7 1 1 2 1 5 5 6 6 7 7 1 1 6 4 4 3 3 2 2 1 2 1 5 6 7 7 1 1 6 4 4 3 3 2 2 6 5 4 3 2 2 6 5 4 3 2 2 1 3 2 1 3 2 1 7 1 7 1 2 7 6 7 6 7 6 5 3 2 1 7 1 8 1 2 1 5 5 6 6 7 7 1 1 6 4 4 3 3 2 2 1 2 1 5 5 6 6 7 7 1 1 6 4 4 3 3 2 2 6 5 4 3 2 2 6 5 4 3 2 2 1 3 2 1 3 2 1 7 1 7 1 2 7 6 7 6 7 6 5 3 2 1 7 1 7 1 2 7 6 7 6 7 6 5 3 2 1 2 6 7 1 2
all_apologies_dt,3 3 3 4 5 3 2 1 b7 5 3 3 3 4 5 3 2 1 b7 5 3 3 3 4 5 3 2 1 b7 5 3 3 3 4 5 3 2 1 b7 5 6 b7 1 6 1 3 2 1 b7 5 5 6 b7 5 6 5 3 3 2 2 3 2 2 3 3 3 3 4 5 3 2 1 b7 5 3 3 3 4 5 3 2 1 b7 5 3 3 3 4 5 3 2 1 b7 5 3 3 3 4 5 3 2 1 b7 5 5 5 4 3 2 1 6 b7 1 6 1 3 2 1 b7 5 5 6 b7 5 6 5 3 3 2 2 3 2 2 3 2 2 3 2 2 3 2 1 6 5 4 5 5 5 4 3 2 1 5 5 5 4 3 2 1 5 5 5 4 3 2 1 5 5 5 4 3 2 1 5 5 5 4 3 2 1 5 5 5 4 3 2 1 5 5 5 4 3 2 1 5 5 5 4 3 2 1 5 5 5 4 3 2 1 5 5 5 4 3 2 1 5 5 5 4 3 2 1 5 5 5 4 3 2 1 5 5 5 4 3 2 1 5 5 5 4 3 2 1 5 5 5 4 3 2 1 5 5 5 4 3 2 1 5 5 5 4 3 2 1 5 5 5 4 3 2 1 5 5 5 4 3 2 1 5 5 5 4 3 2 1
sunshine_of_your_love_tdc,1 1 b7 1 5 1 1 b7 1 5 4 b3 5 1 1 b7 1 5 b3 4 b3 1 1 b7 1 5 b3 4 b3 5 1 4 4 b3 4 b3 1 b7 1 4 5 4 4 b3 b3 5 4 4 b3 4 b3 b3 4 4 5 b7 5 4 5 4 4 5 b7 5 4 5 5 7 2 b7 6 7 2 1 2 1 7 6 7 6 5 b7 1 1 b7 1 b7 1 1 b7 1 5 5 4 b3 5 6 1 1 b7 1 b7 1 5 b7 1 1 b7 1 b3 2 b7 1 4 4 b3 4 b3 5 1 1 4 4 b3 4 b3 b5 4 4 b3 4 b3 4 3 4 4 5 b7 5 4 5 4 4 5 b7 5 4 5 5 7 2 b7 6 7 2 1 2 1 7 6 7 6 5 2 7 1 1 1 b7 1 b7 6 1 5 b3 4 b3 4 5 4 b3 1 5 6 1 1 b7 1 b7 1 5 b7 1 1 b7 1 b3 2 b7 1 4 4 b3 4 b3 1 1 4 4 b3 4 b3 b3 5 4 b3 4 b3 4 b3 3 3 4 5 b7 5 4 5 4 4 5 b7 1 b7 b3 1 2 1 4 5 b7 5 4 5 4 5 b7 5 4 5 5 7 2 b7 6 7 2 1 2 1 7 6 7 6 5
hallelujah_dt,3 3 5 5 5 5 6 6 6 3 5 5 5 5 5 6 6 6 5 6 6 6 6 6 5 5 4 5 5 3 4 5 5 5 5 6 6 7 6 1 1 1 1 1 1 1 2 1 2 2 2 2 3 3 3 2 2 1 1 3 5 6 6 6 5 3 3 3 5 6 6 6 5 3 4 3 2 1 3 4 5 5 5 5 5 6 6 6 3 5 5 5 5 6 6 6 5 6 6 6 6 6 5 5 4 6 3 3 4 5 5 5 5 6 6 7 7 7 1 1 1 1 1 1 1 2 1 2 2 2 2 3 3 3 2 2 1 1 3 5 6 6 6 5 3 3 3 5 6 6 6 5 3 4 3 2 1 3 5 5 5 5 6 6 6 3 5 5 5 5 5 6 6 6 6 6 6 6 6 6 6 6 5 5 4 5 5 3 3 5 5 5 5 5 6 6 7 6 1 1 1 1 1 1 2 1 1 2 2 2 2 3 3 3 2 2 1 1 3 5 6 6 6 5 3 3 3 5 6 6 6 5 5 6 3 2 1 3 4 5 5 5 5 5 6 6 6 3 5 5 5 5 6 6 6 5 6 6 6 6 6 5 5 4 5 5 3 4 5 5 5 5 6 6 7 6 6 1 1 1 1 1 1 2 1 2 2 2 2 3 3 3 2 2 1 1 1 1 3 6 6 5 3 3 3 5 6 6 6 5 3 4 3 2 3 2 7 3 5 5 5 5 6 6 6 3 5 5 5 5 6 6 6 5 6 6 6 6 6 6 5 4 6 3 3 4 5 5 5 5 5 6 6 7 6 1 1 1 1 1 1 1 2 1 1 2 2 2 2 3 3 3 2 2 1 1 3 5 6 6 6 5 3 3 3 5 6 6 6 5 3 2 2 3 5 6 6 6 5 3 3 3 5 6 6 6 5 3 2 2 3 3 2 2 3 2 2 1 6 6 3 3 4 3 2 1 1 1 6 5 3 2 2 1 6 1 2 3 2 1 1
go_your_own_way_tdc,1 2 3 2 1 2 3 3 4 3 2 2 4 5 6 5 4 5 6 1 4 5 5 6 5 1 2 3 2 1 2 3 3 4 3 2 2 2 4 5 6 5 4 5 6 1 4 4 5 6 5 3 2 3 5 1 1 2 4 2 1 7 1 7 6 3 2 3 5 1 1 2 1 2 1 3 2 3 2 3 5 1 1 2 4 2 1 7 1 1 2 3 2 4 4 4 3 2 2 4 5 6 5 4 5 6 1 4 5 5 6 5 1 2 3 2 1 2 3 3 4 3 2 2 2 4 5 6 5 4 5 6 1 4 4 5 6 5 3 2 3 5 1 1 2 4 2 1 7 1 7 6 3 2 3 5 1 1 2 1 2 1 3 2 3 2 3 5 1 1 2 4 2 1 7 1 1 6 3 2 3 5 1 1 2 4 2 1 7 1 7 6 3 2 3 5 1 1 2 1 2 1 3 2 1 2 1 3 2 1 1 6 5 3 2 3 5 1 1 2 4 2 1 7 1 7 6 3 2 3 5 1 1 2 1 2 1 3 2 2 1 3 2 3 5 1 1 2 2 3 2 3 5 1 1 2 1 2 1 3 2 3 2 3 5 1 1 2 2
born_to_run_dt,3 4 4 3 2 1 4 3 3 2 1 1 1 1 1 1 1 1 1 1 4 4 3 2 1 4 3 3 2 1 1 6 6 6 5 5 7 1 1 1 1 7 1 1 1 7 1 1 1 1 1 1 1 1 6 6 6 6 5 b3 2 2 1 1 1 1 1 7 1 1 1 1 1 2 6 6 6 1 1 7 6 6 6 6 6 5 5 5 6 1 1 1 1 2 2 2 2 2 1 7 1 6 5 4 5 3 2 3 3 4 3 2 1 1 1 4 3 2 1 1 1 1 1 1 6 b3 2 3 4 3 2 1 1 4 3 2 1 6 6 1 1 1 2 2 1 7 1 1 1 7 1 1 1 7 1 1 1 6 6 5 5 5 5 5 5 3 b3 2 2 2 1 1 1 1 6 2 6 3 2 2 2 2 2 1 1 6 6 5 5 5 5 5 5 5 5 6 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 1 7 1 5 5 4 5 3 1 1 2 5 5 5 5 5 5 5 5 b7 b7 b7 6 6 6 6 6 6 6 5 4 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 1 1 1 1 5 3 2 2 2 2 1 1 1 1 1 1 1 1 6 2 3 3 3 3 2 2 2 2 2 1 1 1 5 5 5 5 3 3 2 6 7 1 1 1 1 1 7 1 1 1 1 1 7 1 1 1 6 6 6 6 6 6 5 b3 2 2 1 1 1 7 1 1 1 1 1 1 1 1 1 6 6 6 6 6 6 6 5 5 5 6 6 6 2 2 2 2 2 2 2 2 2 2 2 1 7 1 6 1 6 2 2 2 2 2 2 2 2 1 7 1 1 1 1 1 2 2 2 2 2 2 2 1 7 1 6 5 3 5 6 5 3 5 5 1 3 2 1 6 1 3 2 1 6 6 5 6 5 3 5 2 1 6 1 2 1 6 1 3 2 1 6 6 5
thunder_road_dt,1 5 5 5 4 4 4 3 2 1 3 5 5 5 5 5 5 5 5 5 5 4 4 4 4 3 2 1 4 4 4 4 4 3 3 3 3 3 2 2 3 3 3 3 3 3 5 5 4 4 5 5 5 5 4 4 4 4 4 3 3 3 3 3 3 2 2 2 5 5 5 5 5 5 4 4 4 4 3 3 3 3 2 1 3 5 5 5 5 5 5 5 5 5 5 5 5 6 5 5 4 1 1 1 1 1 4 4 4 4 3 3 2 3 3 3 3 3 3 4 4 5 5 4 6 5 5 5 4 3 1 7 1 1 1 1 1 3 3 5 6 5 3 5 1 1 1 1 1 3 3 5 5 4 4 3 2 3 5 5 5 3 5 5 5 6 6 6 6 5 5 5 5 4 4 4 3 2 1 1 1 1 5 5 5 5 3 6 1 1 1 1 1 1 1 3 3 5 4 4 4 1 1 1 2 3 5 5 5 5 5 3 5 6 6 6 6 6 6 7 7 7 1 1 1 1 1 1 1 1 1 1 6 6 5 5 1 1 1 1 1 1 1 1 7 7 5 5 6 6 5 4 1 1 1 1 1 1 1 7 7 5 5 5 5 5 5 5 1 1 6 6 6 6 5 3 4 4 3 3 2 2 2 1 3 5 6 5 5 1 1 1 1 1 3 5 4 4 1 1 1 2 1 3 5 6 5 5 5 6 5 5 5 3 5 5 5 1 1 1 7 6 6 6 6 6 6 6 1 1 1 1 1 7 6 6 5 5 5 6 1 3 5 6 5 5 5 6 6 5 4 7 7 6 5 7 1 1 6 5 1 1 1 1 1 6 6 6 6 5 3 5 5 6 1 1 1 1 1 5 6 6 6 6 6 6 6 7 6 5 5 3 3 4 4 4 4 6 5 4 5 5 5 5 5 5 6 6 5 3 6 6 6 6 6 6 6 6 6 6 6 7 6 2 2 2 1 2 2 1 3 2 2 2 1 3 2 2 2 2 1 1 1 1 1 1 1 6 6 5 5 1 1 1 1 1 1 1 1 1 1 7 7 7 6 6 6 5 5 4 1 1 1 1 1 1 1 1 1 5 5 5 5 5 5 5 5 5 5 1 1 1 1 1 1 7 7 7 6 6 6 6 7 6 5 6 1 1 1 1 1 7 7 7 6 5 6 6 6 6 6 6 5 3 2 2 1 4 4 3 3 3 2 1 1 1 1 1 6 6 6 3 2 2 2 2 2 2 3 2 1 2 6
